,Property_name,Location,Rating,Review,Type_of_stay,Stay_duration_and_group_size,price,Taxes_and_charges_inr
70,Olive Serviced Apartments - New Friends Colony,"New Friends Colony, New Delhi",8.9,Fabulous,1×Standard StudioEntire studio•1 bathroom•45m²1 large double bed,"5 nights, 6 adults, 4 children","₹184,148","33,147"
71,Homlee-Gokul 3BHK Flat-Lift-Parking-vaishali metro,Ghaziabad,,Exceptional,,"5 nights, 6 adults, 4 children","₹37,000","5,339"
72,"Hostie Asita - Studio Apartments with Pvt Kitchenette, Noida",Noida,8.8,Fabulous,1×Studio with BalconyEntire studio•1 bathroom•56m²1 extra-large double bed,"5 nights, 6 adults, 4 children","₹84,000","17,580"
73,Homlee-Vasundhara 3BHK Flat- kitchen-Parking-Lift,Ghaziabad,9.2,Superb,,"5 nights, 6 adults, 4 children","₹34,500","5,139"
74,StayVista at Cloudberry Estate - Pet Freindly Villa with Private Outdoor Pool & Lawn,Faridabad,7.0,Good,,"5 nights, 6 adults, 4 children","₹165,225","29,741"
75,Hotel Le Mount Suit Inn,New Delhi,7.8,Good,"1×Family Room2 beds (1 single, 1 large double) • Free cot always availableFree cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹16,031","1,924"
76,Just Renovated - Hotel Krishna Palace With Parking & Only 2 Mins Walk from Metro,"Paharganj, New Delhi",8.8,Fabulous,2×Deluxe Double Room2 single bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹32,256","3,871"
77,"Hotel Delhi Pride, Karol Bagh","Karol bagh, New Delhi",8.2,Very good,2×King Room2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹63,428","7,611"
78,HILIFE Inn,"Paharganj, New Delhi",9.4,Superb,5×Deluxe Double Room (2 Adults + 1 Child)5 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹20,266","2,432"
79,Hotel Shyam Suites,New Delhi,,,5×Superior King Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹46,400","5,568"
80,Hotel Ginger Palace Delhi Airport,"Mahipalpur, New Delhi",5.6,Review score,5×Deluxe Double Room5 double beds • Free cot always available,"5 nights, 10 adults","₹17,910","2,149"
81,Hotel Fringo,"Chanakyapuri, New Delhi",,Exceptional,5×Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹10,688","1,283"
82,Hotel Grand City Lite,New Delhi,7.0,,1×Deluxe Room1 double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹22,047","2,646"
83,Hotel Shivdev International Near New Delhi Railway Station,"Paharganj, New Delhi",6.3,Review score,1×Standard Double Room with Fan1 double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹17,775","2,133"
84,Kerala Home Stay - Near NZMMUDIN Railway Station,New Delhi,,,5×Deluxe Double Room (2 Adults + 1 Child)5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹19,250","2,310"
85,Hotel Grand Tej Palace,"Chanakyapuri, New Delhi",8.3,Very good,"1×Quadruple Room2 beds (1 single, 1 extra-large double)Free cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹22,185","2,662"
86,SONA NEW DELHI RAILWAY Station,"Paharganj, New Delhi",8.9,Fabulous,1×Deluxe Room1 double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹18,000","2,160"
87,"Golf Greens - 4 Bedroom Ground Floor Apartment with Private Garden, South Delhi","Saket, New Delhi",,,,"5 nights, 10 adults","₹80,000","14,400"
88,hotel jeena,New Delhi,,,5×Deluxe Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹24,975","2,997"
89,hotel mount,"Mahipalpur, New Delhi",,,5×Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹24,975","2,997"
90,Hotel Stay House Inn Paharganj,New Delhi,,,5×Standard King Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹30,000","3,600"
91,Hotel Prem dulexe' 200 m from New Delhi railway station,"Paharganj, New Delhi",9.5,Exceptional,2×Budget Double Room2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹17,235","2,068"
92,Hotel O WESTERN,"Karol bagh, New Delhi",,,4×Classic Triple Room4 large double bedsFree cancellation,"5 nights, 10 adults","₹32,489","4,749"
93,hotel kanika,"Mahipalpur, New Delhi",,,5×Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹27,225","3,267"
94,Hotel Seven,New Delhi,,,5×Deluxe Double Room (2 Adults + 1 Child)5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹30,000","3,600"
95,hotel virat,New Delhi,,,5×Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹29,975","3,597"
96,hotel vani,New Delhi,,,5×Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹29,975","3,597"
97,hotel namaste,"Chanakyapuri, New Delhi",,,5×Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹24,975","2,997"
98,Embrace luxury Hotel & Banquet,"West Delhi, New Delhi",,,4×Double Room4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹31,990","3,839"
99,Hotel O South Galaxy,"Greater Kailash 1, New Delhi",,,4×Classic Triple Room4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹32,887","4,796"
100,Hyatt Delhi Residences,"Aerocity, New Delhi",8.9,Fabulous,1×One-Bedroom ApartmentEntire apartment•1 bedroom•1 kitchen1 extra-large double bed,"5 nights, 9 adults, 1 child","₹244,000","43,920"
101,Anara Service Apartments - Greater Kailash Part II,New Delhi,8.3,Very good,1×Studio with BalconyEntire studio•1 kitchen•120m²1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹152,620",
102,Homlee-Excellency Large 4BHK-South Delhi- NFC,"New Friends Colony, New Delhi",8.8,Fabulous,,"5 nights, 9 adults, 1 child","₹63,500","12,630"
103,Homlee-Green Luxury 3BHK-South DEL-NFC-Lift,"New Friends Colony, New Delhi",,Exceptional,,"5 nights, 9 adults, 1 child","₹62,250","12,204"
104,Ideal 3bhk apartment!Downtown,New Delhi,,,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•93m²2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹50,000",
105,Homlee-Anupam 3BHK-Lift-Parking-Saket-Max Hospital,"South Delhi, New Delhi",8.9,Fabulous,,"5 nights, 9 adults, 1 child","₹53,500","10,629"
106,Homlee-Vintage 2BHK-Fort View-Bharat Mandapam-NDLS,"Central Delhi, New Delhi",7.2,Good,2×Two-Bedroom Apartment2 entire apartments•4 bedrooms•4 bathrooms•2 kitchens4 double bedsFree stay for your childFree cancellation,"5 nights, 9 adults, 1 child","₹53,740","7,647"
107,Olive Serviced Apartments - Defence Colony,New Delhi,7.5,Good,,"5 nights, 9 adults, 1 child","₹144,465","26,004"
108,Homlee-Pentagon 3 BHK luxurious-Lift-Parking-Saket,"Saket, New Delhi",9.0,Superb,,"5 nights, 9 adults, 1 child","₹97,500","18,749"
109,StayVista at The Cityscape with Lawn & Pool,"Dwarka, New Delhi",9.3,Superb,,"5 nights, 9 adults, 1 child","₹196,425","35,357"
110,StayVista's Anantam - Luxury 4BR villa with Huge Swimming Pool in Delhi,New Delhi,,,,"5 nights, 9 adults, 1 child","₹348,844","62,792"
111,"Fortune Home Service Apartment 3Bhk,J-171 Saket","Saket, New Delhi",,,"1×Three-Bedroom Standard ApartmentEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•350m²3 beds (1 double, 1 extra-large double, 1 large double)Free cancellation","5 nights, 9 adults, 1 child","₹91,195","27,615"
112,Urban Nest -New 3BHK Apartments,"South Delhi, New Delhi",8.0,,1×Three-Bedroom Apartment with BalconyEntire apartment•3 bedrooms•3 bathrooms•1 kitchen•220m²3 double bedsFree cancellation,"5 nights, 9 adults, 1 child","₹149,060","26,831"
